pmid,author,position
59104566,Loupy C,1
59104566,Wiebe A,2
59104566,Gaston S,3
59104566,Tambur F,4
59104566,Nickerson B,5
73280554,Wiebe A,1
73280554,Nickerson B,2
73280554,Duquesnoy G,3
73280554,Jordan E,4
73280554,Lefaucheur D,5
73280554,Morelon S,6
73280554,Montgomery P,7
73280554,Heidt J,8
65684858,Bagnasco L,1
65684858,Wiebe A,2
65684858,Loupy C,3
65684858,Nickerson B,4
95831286,Wiebe A,1
95831286,Stegall R,2
95831286,Nickerson B,3
95831286,Loupy C,4
95831286,Jordan E,5
95831286,Lefaucheur D,6
95831286,Gaston S,7
95831286,Tambur F,8
89034501,Halloran A,1
89034501,Wiebe A,2
89034501,Gebel K,3
89034501,Stegall R,4
18163847,Lefaucheur D,1
18163847,Wiebe A,2
18163847,Tambur F,3
18163847,Nickerson B,4
18163847,Claas H,5
67723010,Wiebe A,1
67723010,Nickerson B,2
67723010,Jordan E,3
67723010,Zachary N,4
85387867,Wiebe A,1
85387867,Nickerson B,2
85387867,Meier-Kriesche V,3
85387867,Jordan E,4
85387867,Montgomery P,5
91737913,Loupy C,1
91737913,Wiebe A,2
91737913,Gebel K,3
55754284,Wiebe A,1
55754284,Nickerson B,2
55754284,Tambur F,3
55754284,Lefaucheur D,4
55754284,Loupy C,5
38351344,Tambur F,1
38351344,Wiebe A,2
38351344,Gaston S,3
38351344,Nickerson B,4
38351344,Loupy C,5
38351344,Rabant M,6
95918360,Heidt J,1
95918360,Lefaucheur D,2
81216573,Wiebe A,1
81216573,Haas K,2
81216573,Tambur F,3
81216573,Loupy C,4
81216573,Jordan E,5
81216573,Duquesnoy G,6
52431444,Loupy C,1
52431444,Rabant M,2
52431444,Wiebe A,3
15505975,Wiebe A,1
15505975,Loupy C,2
15505975,Jordan E,3
90246882,Sis G,1
90246882,Loupy C,2
90246882,Wiebe A,3
90246882,Tambur F,4
96368203,Nickerson B,1
96368203,Wiebe A,2
96368203,Loupy C,3
96368203,Lefaucheur D,4
96368203,Randhawa E,5
96368203,Jordan E,6
96368203,Sellares B,7
96368203,Sis G,8
30703455,Wiebe A,1
30703455,Duquesnoy G,2
30703455,Lefaucheur D,3
30703455,Loupy C,4
30703455,Zachary N,5
30703455,Montgomery P,6
30703455,Jordan E,7
30703455,Nickerson B,8
79244185,Nickerson B,1
79244185,Wiebe A,2
52773159,Lefaucheur D,1
52773159,Nickerson B,2
52773159,Wiebe A,3
52773159,Jordan E,4
79172559,Nickerson B,1
79172559,Caillard V,2
79172559,Wiebe A,3
79172559,Jordan E,4
57928328,Loupy C,1
57928328,Anglicheau N,2
57928328,Wiebe A,3
57928328,Nickerson B,4
57928328,Lefaucheur D,5
57928328,Gaston S,6
52358553,Wiebe A,1
52358553,Loupy C,2
52358553,Anglicheau N,3
